#{"t_start": 1511554873.7985613, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.4"}
r,l,t
-19.0,1054,85.030229
-21.0,788,147.123883
-21.0,885,218.980085
-21.0,941,297.048818
-21.0,1001,386.840714
-19.0,968,476.038432
-20.0,1035,576.660881
-21.0,885,656.218491
-21.0,822,761.522254
-19.0,1082,861.247427
-21.0,839,943.18381
-20.0,933,1037.742101
-21.0,840,1131.810296
-20.0,882,1219.591771
-21.0,849,1307.96488
-20.0,958,1417.47031
-21.0,1116,1552.01357
-21.0,858,1650.362593
-21.0,821,1739.16318
-19.0,1176,1866.657704
-19.0,957,1968.353345
-20.0,842,2059.083564
-20.0,961,2162.320323
-21.0,816,2250.079666
-21.0,875,2343.959671
-20.0,1067,2459.55626
-20.0,842,2550.895838
-21.0,759,2631.430541
-20.0,1039,2743.336393
-19.0,931,2845.461114
-20.0,888,2939.416735
-19.0,986,3044.475953
-20.0,1020,3161.18244
-20.0,922,3262.465509
-21.0,880,3364.92127
-21.0,881,3462.613647
-21.0,823,3554.756174
-21.0,758,3638.930932
-21.0,839,3732.955231
-20.0,935,3837.756689
-21.0,958,3943.410551
-21.0,868,4039.98913
-19.0,1050,4155.820536
-20.0,915,4259.030814
-20.0,859,4356.157476
-20.0,946,4461.102287
-19.0,982,4568.129147
-21.0,911,4669.809643
-19.0,1007,4778.937045
-21.0,861,4873.724597
-21.0,820,4964.746359
-20.0,920,5067.635725
-20.0,1170,5194.963055
-21.0,1026,5306.127269
-21.0,848,5397.217976
-21.0,837,5487.324019
-20.0,882,5585.151832
-20.0,865,5680.068679
-19.0,1161,5808.68427
-20.0,866,5901.361933
-20.0,1098,6024.621941
-20.0,1079,6142.813544
-21.0,1016,6255.582427
-20.0,1023,6365.037768
-20.0,871,6460.39138
-20.0,884,6563.206545
-20.0,1008,6683.366384
-20.0,900,6785.47931
-21.0,758,6868.065838
-21.0,971,6976.44349
-19.0,1121,7092.577519
-20.0,930,7195.07304
-17.0,1163,7324.035939
-21.0,907,7422.596461
-20.0,1123,7541.359075
-20.0,1075,7682.654952
-20.0,1016,7779.468328
-20.0,897,7866.929477
-20.0,1154,7985.890447
-18.0,1179,8114.131756
-21.0,1044,8225.894503
-21.0,1434,8377.802256
-18.0,1181,8503.643534
-18.0,1275,8638.027763
-20.0,1331,8779.444231
-20.0,1125,8898.685014
-19.0,1031,9007.378035
-18.0,1393,9152.858604
-20.0,1244,9275.181877
-21.0,1305,9406.519051
-19.0,1342,9540.303528
-19.0,1131,9651.574349
-21.0,1129,9762.654696
-20.0,1154,9876.509244
-16.0,1504,10030.903388
-17.0,1252,10153.064528
