#{"t_start": 1511570431.4036803, "gym_version": "0.9.4", "env_id": "PongNoFrameskip-v4"}
r,l,t
-9.0,2200,37.99275
-2.0,3547,99.127203
3.0,3574,160.716964
-9.0,3237,217.105251
-4.0,3595,279.487415
-5.0,3128,333.651576
-10.0,2739,380.990085
-3.0,3098,434.177732
-10.0,2403,475.723539
-7.0,2373,516.807734
-5.0,2926,567.48826
-6.0,2909,617.629003
-6.0,3056,670.120434
-3.0,3202,725.256336
-3.0,3384,783.804836
-3.0,3024,835.755734
-4.0,2906,885.773822
1.0,3246,941.835702
-3.0,3033,993.846576
6.0,2848,1042.904561
-1.0,3642,1106.056943
9.0,3047,1158.125008
13.0,2369,1199.319203
-3.0,3491,1259.978939
6.0,3044,1313.037702
13.0,2248,1352.848214
-4.0,3459,1414.157908
7.0,2710,1462.45514
12.0,2268,1502.635447
6.0,2722,1550.809559
15.0,2176,1589.31037
9.0,2724,1637.626302
8.0,2865,1688.311452
5.0,2399,1730.633463
15.0,2083,1767.396493
11.0,2553,1812.762898
12.0,2220,1851.953455
16.0,2219,1891.203426
11.0,2609,1937.207277
17.0,1969,1972.010988
14.0,2603,2018.394377
9.0,2447,2061.841506
17.0,1983,2097.006798
16.0,2287,2137.400927
9.0,2504,2182.016484
18.0,1916,2215.948385
16.0,2145,2253.92702
4.0,2787,2303.34793
15.0,2051,2339.648001
15.0,2067,2376.304789
13.0,2310,2417.260068
4.0,2504,2461.436085
11.0,2369,2503.452299
6.0,2602,2549.816345
8.0,2845,2600.199359
2.0,3041,2654.196735
17.0,1923,2688.158329
3.0,2826,2738.450795
13.0,2116,2776.033236
10.0,2596,2820.819105
15.0,2165,2857.370243
13.0,2223,2895.335352
14.0,2498,2937.149607
15.0,2247,2974.977054
16.0,2046,3009.733129
20.0,1767,3039.547984
16.0,1951,3072.791308
18.0,1893,3104.57769
11.0,2286,3143.059985
12.0,2504,3184.924492
5.0,2596,3228.252042
12.0,2255,3266.324032
